"ocurrencias"	"word"
"vio"	248	"vio"
"saber"	247	"saber"
"camino"	245	"camino"
"parece"	245	"parece"
"hizo"	243	"hizo"
"escudero"	242	"escudero"
"muchas"	242	"muchas"
"tener"	242	"tener"
"días"	240	"días"
"mas"	240	"mas"
"manos"	239	"manos"
"cuanto"	238	"cuanto"
"desta"	234	"desta"
"fin"	234	"fin"
"tres"	234	"tres"
"mujer"	226	"mujer"
"dice"	225	"dice"
"cada"	221	"cada"
"mesmo"	219	"mesmo"
"cabeza"	215	"cabeza"
"cuenta"	214	"cuenta"
"vos"	212	"vos"
"noche"	211	"noche"
"punto"	211	"punto"
"replicó"	208	"replicó"
"veces"	207	"veces"
"rocinante"	206	"rocinante"
"vuesa"	203	"vuesa"
"parecer"	202	"parecer"
"duque"	200	"duque"
"razones"	200	"razones"
"diciendo"	198	"diciendo"
"andante"	197	"andante"
"caballo"	197	"caballo"
"sólo"	197	"sólo"
"debe"	196	"debe"
"después"	196	"después"
"grande"	196	"grande"
"gusto"	193	"gusto"
"pie"	193	"pie"
"podía"	193	"podía"
"mil"	191	"mil"
"vez"	191	"vez"
"decía"	190	"decía"
"primero"	190	"primero"
"duquesa"	189	"duquesa"
"llegó"	185	"llegó"
"mucha"	180	"mucha"
"nombre"	180	"nombre"
"voz"	179	"voz"
"mismo"	178	"mismo"
"duda"	177	"duda"
"adelante"	176	"adelante"
"mancha"	175	"mancha"
"gobernador"	174	"gobernador"
"modo"	170	"modo"
"barbero"	167	"barbero"
"según"	164	"según"
"toboso"	163	"toboso"
"andantes"	162	"andantes"
"dado"	162	"dado"
"hija"	162	"hija"
"iba"	161	"iba"
"por"	161	"por"
"cuatro"	160	"cuatro"
"voluntad"	160	"voluntad"
"deseo"	159	"deseo"
"aquellos"	158	"aquellos"
"quiso"	158	"quiso"
"gente"	157	"gente"
"armas"	156	"armas"
"hace"	156	"hace"
"ventura"	155	"ventura"
"nunca"	154	"nunca"
"tales"	154	"tales"
"alma"	153	"alma"
"capítulo"	153	"capítulo"
"rostro"	153	"rostro"
"razón"	152	"razón"
"entender"	151	"entender"
"señores"	151	"señores"
"venía"	151	"venía"
"viendo"	151	"viendo"
"muerte"	150	"muerte"
"siempre"	150	"siempre"
"tanta"	150	"tanta"
"agora"	149	"agora"
"con"	149	"con"
"camila"	148	"camila"
"cuerpo"	148	"cuerpo"
"deste"	148	"deste"
"menester"	148	"menester"
"doncella"	147	"doncella"
"libros"	147	"libros"
"palabra"	147	"palabra"
"qué"	147	"qué"
"entonces"	144	"entonces"
"quiere"	144	"quiere"
"alguno"	143	"alguno"
"caballería"	143	"caballería"
"cuales"	143	"cuales"
"puso"	143	"puso"
"lotario"	142	"lotario"
"nadie"	142	"nadie"
"hermosa"	141	"hermosa"
"ninguna"	141	"ninguna"
"suelo"	141	"suelo"
"suerte"	141	"suerte"
"castillo"	140	"castillo"
"corazón"	140	"corazón"
"dicen"	140	"dicen"
"jamás"	140	"jamás"
"venta"	140	"venta"
"anselmo"	138	"anselmo"
"preguntó"	138	"preguntó"
"años"	137	"años"
"pies"	137	"pies"
"rey"	137	"rey"
"vino"	137	"vino"
"persona"	136	"persona"
"fernando"	135	"fernando"
"finalmente"	133	"finalmente"
"comenzó"	132	"comenzó"
"dél"	132	"dél"
"mala"	132	"mala"
"mayor"	132	"mayor"
"quedó"	132	"quedó"
"voces"	132	"voces"
"poner"	131	"poner"
"caso"	130	"caso"
"fuerza"	129	"fuerza"
"aventura"	128	"aventura"
"éste"	128	"éste"
"salir"	128	"salir"
"memoria"	127	"memoria"
"oído"	127	"oído"
"grandes"	126	"grandes"
"amor"	125	"amor"
"mitad"	125	"mitad"
"palabras"	125	"palabras"
"causa"	124	"causa"
"delante"	124	"delante"
"fama"	124	"fama"
"hermosura"	123	"hermosura"
"posible"	123	"posible"
"cierto"	122	"cierto"
"libro"	122	"libro"
"volvió"	121	"volvió"
"contento"	119	"contento"
"rucio"	119	"rucio"
"sabe"	119	"sabe"
"ventero"	118	"ventero"
"demás"	117	"demás"
"hacía"	116	"hacía"
"ínsula"	116	"ínsula"
"pasar"	116	"pasar"
"casi"	115	"casi"
"venir"	114	"venir"
"figura"	113	"figura"
"gobierno"	113	"gobierno"
"nuevo"	113	"nuevo"
"debía"	112	"debía"
"dejar"	112	"dejar"
"ello"	112	"ello"
"espada"	112	"espada"
"dorotea"	111	"dorotea"
"loco"	111	"loco"
"tantas"	110	"tantas"
"bachiller"	109	"bachiller"
"bueno"	109	"bueno"
"pena"	109	"pena"
"hora"	108	"hora"
"junto"	108	"junto"
"muerto"	107	"muerto"
"triste"	107	"triste"
"volver"	107	"volver"
"boca"	106	"boca"
"daba"	106	"daba"
"hermano"	106	"hermano"
"intención"	106	"intención"
"tomar"	106	"tomar"
"aquello"	105	"aquello"
"buscar"	105	"buscar"
"ocasión"	105	"ocasión"
"poder"	105	"poder"
"apenas"	104	"apenas"
"della"	104	"della"
"pueblo"	104	"pueblo"
"hombres"	103	"hombres"
"pedro"	103	"pedro"
"ciudad"	102	"ciudad"
"lengua"	102	"lengua"
"partes"	102	"partes"
"pensamientos"	102	"pensamientos"
"buenos"	101	"buenos"
"cardenio"	101	"cardenio"
"unas"	101	"unas"
"hijo"	100	"hijo"
"llevar"	100	"llevar"
"medio"	100	"medio"
"ninguno"	100	"ninguno"
"pareció"	100	"pareció"
"solo"	100	"solo"
"comer"	99	"comer"
"lágrimas"	99	"lágrimas"
"luscinda"	99	"luscinda"
"paso"	99	"paso"
"pudo"	99	"pudo"
"tantos"	99	"tantos"
"dellos"	98	"dellos"
"pobre"	98	"pobre"
"adonde"	97	"adonde"
"hablar"	97	"hablar"
"pienso"	97	"pienso"
"puedo"	97	"puedo"
"quería"	97	"quería"
"aquellas"	96	"aquellas"
"carta"	96	"carta"
"creo"	96	"creo"
"vista"	96	"vista"
"orden"	95	"orden"
"parecía"	95	"parecía"
"todo"	95	"todo"
"buenas"	94	"buenas"
"oro"	94	"oro"
"traía"	94	"traía"
"aposento"	93	"aposento"
"diablo"	93	"diablo"
"famoso"	93	"famoso"
"primera"	93	"primera"
"viene"	93	"viene"
"aventuras"	92	"aventuras"
"ésta"	92	"ésta"
"podría"	92	"podría"
"brazos"	91	"brazos"
"conmigo"	91	"conmigo"
"cabo"	90	"cabo"
"dando"	90	"dando"
"entrar"	89	"entrar"
"mira"	89	"mira"
"pensar"	89	"pensar"
"pudiera"	89	"pudiera"
"sabía"	89	"sabía"
"asno"	88	"asno"
"cuento"	88	"cuento"
"quisiera"	88	"quisiera"
"dieron"	87	"dieron"
"salió"	87	"salió"
"suele"	87	"suele"
"teresa"	87	"teresa"
"mañana"	86	"mañana"
"mozo"	86	"mozo"
"puerta"	86	"puerta"
"trabajo"	86	"trabajo"
"campo"	85	"campo"
"mesma"	85	"mesma"
"pecho"	85	"pecho"
"aún"	84	"aún"
"autor"	84	"autor"
"eso"	84	"eso"
"gana"	84	"gana"
"juicio"	84	"juicio"
"valor"	84	"valor"
"nuevas"	83	"nuevas"
"pueden"	83	"pueden"
"tras"	83	"tras"
"cuantos"	82	"cuantos"
"cuya"	82	"cuya"
"dejó"	82	"dejó"
"sazón"	82	"sazón"
"batalla"	81	"batalla"
"entendimiento"	81	"entendimiento"
"libertad"	81	"libertad"
"llaman"	81	"llaman"
"madre"	80	"madre"
"natural"	80	"natural"
"pueda"	80	"pueda"
"quizá"	80	"quizá"
"caballerías"	79	"caballerías"
"desgracia"	79	"desgracia"
"falta"	79	"falta"
"allá"	78	"allá"
"cerca"	78	"cerca"
"honra"	78	"honra"
"locura"	78	"locura"
"marido"	78	"marido"
"pasó"	78	"pasó"
"peligro"	78	"peligro"
"pensamiento"	78	"pensamiento"
"sol"	78	"sol"
"zoraida"	78	"zoraida"
"brazo"	77	"brazo"
"misma"	77	"misma"
"que"	77	"que"
"seis"	77	"seis"
"agua"	76	"agua"
"criado"	76	"criado"
"debajo"	76	"debajo"
"hoy"	76	"hoy"
"mercedes"	76	"mercedes"
"rico"	76	"rico"
"doña"	75	"doña"
"españa"	75	"españa"
"fortuna"	75	"fortuna"
"hacen"	75	"hacen"
"haga"	75	"haga"
"podrá"	75	"podrá"
"presto"	75	"presto"
"remedio"	75	"remedio"
"sansón"	75	"sansón"
"silencio"	75	"silencio"
"ama"	74	"ama"
"dueña"	74	"dueña"
"jumento"	74	"jumento"
"licencia"	74	"licencia"
"semejantes"	74	"semejantes"
"sucedió"	74	"sucedió"
"deseos"	73	"deseos"
"discreto"	73	"discreto"
"priesa"	73	"priesa"
"valeroso"	73	"valeroso"
"cristiano"	72	"cristiano"
"cuán"	72	"cuán"
"entró"	72	"entró"
"espacio"	72	"espacio"
"fuere"	72	"fuere"
"reino"	72	"reino"
"venían"	72	"venían"
"condición"	71	"condición"
"doncellas"	71	"doncellas"
"hidalgo"	71	"hidalgo"
"labrador"	71	"labrador"
"cristianos"	70	"cristianos"
"gracias"	70	"gracias"
"halló"	70	"halló"
"hicieron"	70	"hicieron"
"llegar"	70	"llegar"
"luz"	70	"luz"
"padres"	70	"padres"
"haré"	69	"haré"
"leído"	69	"leído"
"llegaron"	69	"llegaron"
"pensaba"	69	"pensaba"
"quisiere"	69	"quisiere"
"vestido"	69	"vestido"
"hazañas"	68	"hazañas"
"mandó"	68	"mandó"
"par"	68	"par"
"suceso"	68	"suceso"
"amigos"	67	"amigos"
"creer"	67	"creer"
"los"	67	"los"
"mayores"	67	"mayores"
"pasado"	67	"pasado"
"querría"	67	"querría"
"tomó"	67	"tomó"
"andar"	66	"andar"
"bosque"	66	"bosque"
"espaldas"	66	"espaldas"
"hago"	66	"hago"
"virtud"	66	"virtud"
"ánimo"	65	"ánimo"
"antonio"	65	"antonio"
"barbas"	65	"barbas"
"dije"	65	"dije"
"esperar"	65	"esperar"
"leer"	65	"leer"
"muestras"	65	"muestras"
"oír"	65	"oír"
"pan"	65	"pan"
"sangre"	65	"sangre"
"silla"	65	"silla"
"criados"	64	"criados"
"culpa"	64	"culpa"
"discurso"	64	"discurso"
"escuderos"	64	"escuderos"
"grandeza"	64	"grandeza"
"lanza"	64	"lanza"
"llamaba"	64	"llamaba"
"noticia"	64	"noticia"
"principio"	64	"principio"
"querer"	64	"querer"
"señal"	64	"señal"
"ansí"	63	"ansí"
"edad"	63	"edad"
"encantadores"	63	"encantadores"
"enemigo"	63	"enemigo"
"maese"	63	"maese"
"verde"	63	"verde"
"ahí"	62	"ahí"
"altisidora"	62	"altisidora"
"dónde"	62	"dónde"
"dormir"	62	"dormir"
"hijos"	62	"hijos"
"oyendo"	62	"oyendo"
"porque"	62	"porque"
"temor"	62	"temor"
"azotes"	61	"azotes"
"compañía"	61	"compañía"
"consejo"	61	"consejo"
"consigo"	61	"consigo"
"daño"	61	"daño"
"diez"	61	"diez"
"ningún"	61	"ningún"
"obra"	61	"obra"
"obras"	61	"obras"
"queda"	61	"queda"
"sola"	61	"sola"
"sucesos"	61	"sucesos"
"vea"	61	"vea"
"carrasco"	60	"carrasco"
"diese"	60	"diese"
"dolor"	60	"dolor"
"enamorado"	60	"enamorado"
"haciendo"	60	"haciendo"
"hallado"	60	"hallado"
"provecho"	60	"provecho"
"renegado"	60	"renegado"
"resolución"	60	"resolución"
"valiente"	60	"valiente"
"cuyo"	59	"cuyo"
"dineros"	59	"dineros"
"hambre"	59	"hambre"
"libre"	59	"libre"
"mar"	59	"mar"
"paz"	59	"paz"
"presente"	59	"presente"
"quedaron"	59	"quedaron"
"suelen"	59	"suelen"
"veo"	59	"veo"
"acabó"	58	"acabó"
"diga"	58	"diga"
"hallar"	58	"hallar"
"llama"	58	"llama"
"media"	58	"media"
"mirar"	58	"mirar"
"necesidad"	58	"necesidad"
"oídos"	58	"oídos"
"pastor"	58	"pastor"
"principal"	58	"principal"
"sobrina"	58	"sobrina"
"venga"	58	"venga"
"vieron"	58	"vieron"
"caer"	57	"caer"
"destos"	57	"destos"
"dijese"	57	"dijese"
"esposo"	57	"esposo"
"letras"	57	"letras"
"licenciado"	57	"licenciado"
"nueva"	57	"nueva"
"pasaba"	57	"pasaba"
"poeta"	57	"poeta"
"aldea"	56	"aldea"
"alta"	56	"alta"
"encantado"	56	"encantado"
"gigante"	56	"gigante"
"lado"	56	"lado"
"oficio"	56	"oficio"
"quitar"	56	"quitar"
"reina"	56	"reina"
"veinte"	56	"veinte"
"discreción"	55	"discreción"
"doy"	55	"doy"
"dueñas"	55	"dueñas"
"encima"	55	"encima"
"lejos"	55	"lejos"
"lleno"	55	"lleno"
"princesa"	55	"princesa"
"reales"	55	"reales"
"responder"	55	"responder"
"vencido"	55	"vencido"
"acaso"	54	"acaso"
"aire"	54	"aire"
"darle"	54	"darle"
"ejercicio"	54	"ejercicio"
"esperando"	54	"esperando"
"llamar"	54	"llamar"
"mirando"	54	"mirando"
"plática"	54	"plática"
"risa"	54	"risa"
"blanca"	53	"blanca"
"carro"	53	"carro"
"cuidado"	53	"cuidado"
"dejando"	53	"dejando"
"dentro"	53	"dentro"
"destas"	53	"destas"
"fuego"	53	"fuego"
"hacienda"	53	"hacienda"
"miedo"	53	"miedo"
"mujeres"	53	"mujeres"
"oyó"	53	"oyó"
"poca"	53	"poca"
"prosiguió"	53	"prosiguió"
"quieres"	53	"quieres"
"sacar"	53	"sacar"
"servir"	53	"servir"
"acabar"	52	"acabar"
"acuerdo"	52	"acuerdo"
"asimismo"	52	"asimismo"
"basilio"	52	"basilio"
"claro"	52	"claro"
"contar"	52	"contar"
"daré"	52	"daré"
"decís"	52	"decís"
"diciéndole"	52	"diciéndole"
"iban"	52	"iban"
"moros"	52	"moros"
"roque"	52	"roque"
"verdadera"	52	"verdadera"
"versos"	52	"versos"
"burla"	51	"burla"
"contó"	51	"contó"
"esposa"	51	"esposa"
"historias"	51	"historias"
"llegando"	51	"llegando"
"montesinos"	51	"montesinos"
"negocio"	51	"negocio"
"presencia"	51	"presencia"
"segunda"	51	"segunda"
"sepa"	51	"sepa"
"servido"	51	"servido"
"sucedido"	51	"sucedido"
"voy"	51	"voy"
"efecto"	50	"efecto"
"escrito"	50	"escrito"
"fuerzas"	50	"fuerzas"
"justicia"	50	"justicia"
"presentes"	50	"presentes"
"puesta"	50	"puesta"
"ruido"	50	"ruido"
"señoras"	50	"señoras"
"supo"	50	"supo"
"verdadero"	50	"verdadero"
"acá"	49	"acá"
"andaba"	49	"andaba"
"bondad"	49	"bondad"
"dan"	49	"dan"
"deben"	49	"deben"
"dejado"	49	"dejado"
"diré"	49	"diré"
"disparates"	49	"disparates"
"donde"	49	"donde"
"enemigos"	49	"enemigos"
"huésped"	49	"huésped"
"moro"	49	"moro"
"personas"	49	"personas"
"pesar"	49	"pesar"
"sacó"	49	"sacó"
"salud"	49	"salud"
"santa"	49	"santa"
"trae"	49	"trae"
"blanco"	48	"blanco"
"conocido"	48	"conocido"
"dices"	48	"dices"
"emperador"	48	"emperador"
"especialmente"	48	"especialmente"
"género"	48	"género"
"hacia"	48	"hacia"
"paje"	48	"paje"
"pusieron"	48	"pusieron"
"real"	48	"real"
"respuesta"	48	"respuesta"
"sabes"	48	"sabes"
"término"	48	"término"
"toca"	48	"toca"
"van"	48	"van"
"verdaderamente"	48	"verdaderamente"
"vestidos"	48	"vestidos"
"aquél"	47	"aquél"
"cargo"	47	"cargo"
"cinco"	47	"cinco"
"cólera"	47	"cólera"
"efeto"	47	"efeto"
"muestra"	47	"muestra"
"opinión"	47	"opinión"
"perder"	47	"perder"
"pesadumbre"	47	"pesadumbre"
"pidió"	47	"pidió"
"pocos"	47	"pocos"
"propósito"	47	"propósito"
"vuelto"	47	"vuelto"
"amadís"	46	"amadís"
"año"	46	"año"
"cabellos"	46	"cabellos"
"cabrero"	46	"cabrero"
"conocer"	46	"conocer"
"cortesía"	46	"cortesía"
"cuando"	46	"cuando"
"cueva"	46	"cueva"
"darme"	46	"darme"
"entiendo"	46	"entiendo"
"imaginación"	46	"imaginación"
"ingenio"	46	"ingenio"
"llegado"	46	"llegado"
"mirad"	46	"mirad"
"primo"	46	"primo"
"quieren"	46	"quieren"
"sabio"	46	"sabio"
"tarde"	46	"tarde"
"todavía"	46	"todavía"
"venido"	46	"venido"
"albarda"	45	"albarda"
"amores"	45	"amores"
"árboles"	45	"árboles"
"cuál"	45	"cuál"
"dueño"	45	"dueño"
"escudos"	45	"escudos"
"esperanza"	45	"esperanza"
"estremo"	45	"estremo"
"favor"	45	"favor"
"general"	45	"general"
"gloria"	45	"gloria"
"horas"	45	"horas"
"instante"	45	"instante"
"las"	45	"las"
"mesa"	45	"mesa"
"peor"	45	"peor"
"pudiese"	45	"pudiese"
"sueño"	45	"sueño"
"viento"	45	"viento"
"anda"	44	"anda"
"arriba"	44	"arriba"
"basta"	44	"basta"
"belleza"	44	"belleza"
"buscando"	44	"buscando"
"capitán"	44	"capitán"
"corte"	44	"corte"
"desdichado"	44	"desdichado"
"guerra"	44	"guerra"
"hechos"	44	"hechos"
"honestidad"	44	"honestidad"
"largo"	44	"largo"
"leonela"	44	"leonela"
"llevaba"	44	"llevaba"
"vamos"	44	"vamos"
"vivo"	44	"vivo"
"adónde"	43	"adónde"
"cautivo"	43	"cautivo"
"clara"	43	"clara"
"contado"	43	"contado"
"diego"	43	"diego"
"primer"	43	"primer"
"quedar"	43	"quedar"
"subir"	43	"subir"
"tiempos"	43	"tiempos"
"vaya"	43	"vaya"
"alto"	42	"alto"
"doce"	42	"doce"
"éstos"	42	"éstos"
"fuerte"	42	"fuerte"
"imposible"	42	"imposible"
"jardín"	42	"jardín"
"linaje"	42	"linaje"
"llamado"	42	"llamado"
"mejores"	42	"mejores"
"mono"	42	"mono"
"oyeron"	42	"oyeron"
"rodríguez"	42	"rodríguez"
"venganza"	42	"venganza"
"abajo"	41	"abajo"
"agravio"	41	"agravio"
"alcanzar"	41	"alcanzar"
"amistad"	41	"amistad"
"armado"	41	"armado"
"duques"	41	"duques"
"escribir"	41	"escribir"
"lleva"	41	"lleva"
"llevó"	41	"llevó"
"malos"	41	"malos"
"pastores"	41	"pastores"
"pedir"	41	"pedir"
"seguro"	41	"seguro"
"señas"	41	"señas"
"siglos"	41	"siglos"
"tornó"	41	"tornó"
"traje"	41	"traje"
"verá"	41	"verá"
"viaje"	41	"viaje"
"admiración"	40	"admiración"
"alegre"	40	"alegre"
"alzó"	40	"alzó"
"cama"	40	"cama"
"contrario"	40	"contrario"
"costumbre"	40	"costumbre"
"deja"	40	"deja"
"hallaron"	40	"hallaron"
"hiciese"	40	"hiciese"
"leyes"	40	"leyes"
"luna"	40	"luna"
"oidor"	40	"oidor"
"papel"	40	"papel"
"pasaron"	40	"pasaron"
"quiteria"	40	"quiteria"
"veras"	40	"veras"
"verse"	40	"verse"
"vienen"	40	"vienen"
"conciencia"	39	"conciencia"
"dama"	39	"dama"
"dientes"	39	"dientes"
"leguas"	39	"leguas"
"pide"	39	"pide"
"podían"	39	"podían"
"rodillas"	39	"rodillas"
"señales"	39	"señales"
"uso"	39	"uso"
"vuestra"	39	"vuestra"
"barba"	38	"barba"
"caminos"	38	"caminos"
"canónigo"	38	"canónigo"
"cide"	38	"cide"
"conozco"	38	"conozco"
"dicha"	38	"dicha"
"díjole"	38	"díjole"
"diligencia"	38	"diligencia"
"dime"	38	"dime"
"dinero"	38	"dinero"
"discreta"	38	"discreta"
"donaire"	38	"donaire"
"hará"	38	"hará"
"juan"	38	"juan"
"levantó"	38	"levantó"
"luis"	38	"luis"
"mayordomo"	38	"mayordomo"
"mentira"	38	"mentira"
"mire"	38	"mire"
"paciencia"	38	"paciencia"
"parar"	38	"parar"
"perlas"	38	"perlas"
"salido"	38	"salido"
"trata"	38	"trata"
"viejo"	38	"viejo"
"volvieron"	38	"volvieron"
"yelmo"	38	"yelmo"
"caído"	37	"caído"
"correr"	37	"correr"
"cualquiera"	37	"cualquiera"
"entrambos"	37	"entrambos"
"esto"	37	"esto"
"gentil"	37	"gentil"
"grado"	37	"grado"
"hacían"	37	"hacían"
"hamete"	37	"hamete"
"hecha"	37	"hecha"
"iglesia"	37	"iglesia"
"juntos"	37	"juntos"
"justo"	37	"justo"
"molido"	37	"molido"
"mostraba"	37	"mostraba"
"reyes"	37	"reyes"
"sala"	37	"sala"
"viese"	37	"viese"
"vivir"	37	"vivir"
"baja"	36	"baja"
"desto"	36	"desto"
"echar"	36	"echar"
"experiencia"	36	"experiencia"
"galeras"	36	"galeras"
"gentes"	36	"gentes"
"grandísimo"	36	"grandísimo"
"haría"	36	"haría"
"labradora"	36	"labradora"
"morir"	36	"morir"
"obligado"	36	"obligado"
"palos"	36	"palos"
"pasos"	36	"pasos"
"sepultura"	36	"sepultura"
"serlo"	36	"serlo"
"título"	36	"título"
"trabajos"	36	"trabajos"
"viniese"	36	"viniese"
"asimesmo"	35	"asimesmo"
"ausencia"	35	"ausencia"
"celada"	35	"celada"
"cien"	35	"cien"
"creyendo"	35	"creyendo"
"cristiana"	35	"cristiana"
"cumplir"	35	"cumplir"
"decían"	35	"decían"
"dígame"	35	"dígame"
"encantador"	35	"encantador"
"entrañas"	35	"entrañas"
"esta"	35	"esta"
"guardar"	35	"guardar"
"imagino"	35	"imagino"
"locuras"	35	"locuras"
"pasados"	35	"pasados"
"pedazos"	35	"pedazos"
"presteza"	35	"presteza"
"profesión"	35	"profesión"
"quedaba"	35	"quedaba"
"queréis"	35	"queréis"
"querido"	35	"querido"
"ricote"	35	"ricote"
"soldado"	35	"soldado"
"también"	35	"también"
"vale"	35	"vale"
"acudió"	34	"acudió"
"camacho"	34	"camacho"
"coche"	34	"coche"
"costa"	34	"costa"
"damas"	34	"damas"
"dellas"	34	"dellas"
"engaño"	34	"engaño"
"entraron"	34	"entraron"
"éstas"	34	"éstas"
"facilidad"	34	"facilidad"
"hice"	34	"hice"
"industria"	34	"industria"
"lecho"	34	"lecho"
"llevado"	34	"llevado"
"moza"	34	"moza"
"ocho"	34	"ocho"
"pagar"	34	"pagar"
"parecen"	34	"parecen"
"punta"	34	"punta"
"sale"	34	"sale"
"alforjas"	33	"alforjas"
"andado"	33	"andado"
"barca"	33	"barca"
"calle"	33	"calle"
"cualquier"	33	"cualquier"
"cuello"	33	"cuello"
"decirse"	33	"decirse"
"dejaba"	33	"dejaba"
"deseaba"	33	"deseaba"
"dolorida"	33	"dolorida"
"encantamento"	33	"encantamento"
"hacerse"	33	"hacerse"
"jaula"	33	"jaula"
"juro"	33	"juro"
"leones"	33	"leones"
"naturaleza"	33	"naturaleza"
"número"	33	"número"
"pláticas"	33	"pláticas"
"podré"	33	"podré"
"ponerse"	33	"ponerse"
"refranes"	33	"refranes"
"segundo"	33	"segundo"
"solos"	33	"solos"
"sombra"	33	"sombra"
"vive"	33	"vive"
"admirado"	32	"admirado"
"ancas"	32	"ancas"
"ayuda"	32	"ayuda"
"bacía"	32	"bacía"
"burlas"	32	"burlas"
"carne"	32	"carne"
"daban"	32	"daban"
"deje"	32	"deje"
"diera"	32	"diera"
"esperaba"	32	"esperaba"
"este"	32	"este"
"hablando"	32	"hablando"
"llevaban"	32	"llevaban"
"mancebo"	32	"mancebo"
"mandado"	32	"mandado"
"merece"	32	"merece"
"para"	32	"para"
"pone"	32	"pone"
"principales"	32	"principales"
"puedes"	32	"puedes"
"recebir"	32	"recebir"
"recibió"	32	"recibió"
"revés"	32	"revés"
"riendas"	32	"riendas"
"san"	32	"san"
"seguir"	32	"seguir"
"siquiera"	32	"siquiera"
"temeroso"	32	"temeroso"
"viéndose"	32	"viéndose"
"caminar"	31	"caminar"
"condesa"	31	"condesa"
"conoció"	31	"conoció"
"crédito"	31	"crédito"
"cruel"	31	"cruel"
"debió"	31	"debió"
"dejaron"	31	"dejaron"
"dejase"	31	"dejase"
"derecho"	31	"derecho"
"dirá"	31	"dirá"
"doctor"	31	"doctor"
"echó"	31	"echó"
"francia"	31	"francia"
"ganado"	31	"ganado"
"gigantes"	31	"gigantes"
"golpe"	31	"golpe"
"gracia"	31	"gracia"
"haberle"	31	"haberle"
"hallo"	31	"hallo"
"llegaba"	31	"llegaba"
"maritornes"	31	"maritornes"
"momento"	31	"momento"
"príncipes"	31	"príncipes"
"quedo"	31	"quedo"
"quisiese"	31	"quisiese"
"respeto"	31	"respeto"
"rogó"	31	"rogó"
"salieron"	31	"salieron"
"sierra"	31	"sierra"
"sosiego"	31	"sosiego"
"suspiros"	31	"suspiros"
"valentía"	31	"valentía"
"ventana"	31	"ventana"
"verás"	31	"verás"
"verle"	31	"verle"
"volviéndose"	31	"volviéndose"
"vuelta"	31	"vuelta"
"acometer"	30	"acometer"
"acudir"	30	"acudir"
"casas"	30	"casas"
"descubierto"	30	"descubierto"
"determinado"	30	"determinado"
"diferentes"	30	"diferentes"
"encantada"	30	"encantada"
"excelencia"	30	"excelencia"
"forzoso"	30	"forzoso"
"guarda"	30	"guarda"
"hábito"	30	"hábito"
"hacerle"	30	"hacerle"
"harto"	30	"harto"
"letra"	30	"letra"
"llorar"	30	"llorar"
"lorenzo"	30	"lorenzo"
"majestad"	30	"majestad"
"ponga"	30	"ponga"
"prometido"	30	"prometido"
"puestos"	30	"puestos"
"quitó"	30	"quitó"
"servicio"	30	"servicio"
"sobresalto"	30	"sobresalto"
"solas"	30	"solas"
"soldados"	30	"soldados"
"suspenso"	30	"suspenso"
"tomado"	30	"tomado"
"ventera"	30	"ventera"
"verdaderas"	30	"verdaderas"
"viva"	30	"viva"
"volviese"	30	"volviese"
"acabado"	29	"acabado"
"comenzaron"	29	"comenzaron"
"confuso"	29	"confuso"
"debo"	29	"debo"
"decirle"	29	"decirle"
"determinación"	29	"determinación"
"enojo"	29	"enojo"
"espejos"	29	"espejos"
"estraño"	29	"estraño"
"famosos"	29	"famosos"
"grisóstomo"	29	"grisóstomo"
"hombros"	29	"hombros"
