"Partida"	"Puerta seleccionada"	"Puerta descubierta"	"Realizacion de cambio"	"Puerta final"	"Ganancia obtenida"
"81"	"81"	"C"	"B"	"No"	"C"	"Coche"
"82"	"82"	"C"	"A"	"No"	"C"	"Coche"
"83"	"83"	"C"	"B"	"No"	"C"	"Cabra"
"84"	"84"	"A"	"C"	"No"	"A"	"Coche"
"85"	"85"	"C"	"B"	"No"	"C"	"Cabra"
"86"	"86"	"B"	"C"	"No"	"B"	"Coche"
"87"	"87"	"B"	"C"	"Si"	"A"	"Coche"
"88"	"88"	"C"	"B"	"No"	"C"	"Cabra"
"89"	"89"	"B"	"A"	"No"	"B"	"Cabra"
"90"	"90"	"B"	"C"	"Si"	"A"	"Coche"
"91"	"91"	"B"	"A"	"Si"	"C"	"Coche"
"92"	"92"	"C"	"A"	"Si"	"B"	"Coche"
"93"	"93"	"A"	"C"	"No"	"A"	"Cabra"
"94"	"94"	"A"	"B"	"Si"	"C"	"Coche"
"95"	"95"	"A"	"C"	"Si"	"B"	"Coche"
"96"	"96"	"A"	"C"	"No"	"A"	"Cabra"
"97"	"97"	"C"	"A"	"No"	"C"	"Cabra"
"98"	"98"	"B"	"C"	"No"	"B"	"Coche"
"99"	"99"	"B"	"A"	"No"	"B"	"Coche"
"100"	"100"	"C"	"A"	"No"	"C"	"Cabra"
"101"	"101"	"B"	"C"	"Si"	"A"	"Cabra"
"102"	"102"	"C"	"B"	"No"	"C"	"Coche"
"103"	"103"	"A"	"C"	"No"	"A"	"Coche"
"104"	"104"	"C"	"B"	"Si"	"A"	"Coche"
"105"	"105"	"A"	"B"	"Si"	"C"	"Coche"
"106"	"106"	"B"	"A"	"Si"	"C"	"Cabra"
"107"	"107"	"B"	"A"	"No"	"B"	"Coche"
"108"	"108"	"C"	"A"	"Si"	"B"	"Cabra"
"109"	"109"	"B"	"C"	"No"	"B"	"Cabra"
"110"	"110"	"A"	"C"	"No"	"A"	"Cabra"
"111"	"111"	"C"	"B"	"Si"	"A"	"Cabra"
"112"	"112"	"A"	"B"	"No"	"A"	"Coche"
"113"	"113"	"C"	"A"	"No"	"C"	"Cabra"
"114"	"114"	"C"	"A"	"Si"	"B"	"Coche"
"115"	"115"	"B"	"C"	"No"	"B"	"Coche"
"116"	"116"	"C"	"B"	"No"	"C"	"Cabra"
"117"	"117"	"C"	"A"	"No"	"C"	"Cabra"
"118"	"118"	"B"	"C"	"Si"	"A"	"Coche"
"119"	"119"	"C"	"B"	"Si"	"A"	"Coche"
"120"	"120"	"B"	"A"	"Si"	"C"	"Coche"
"121"	"121"	"C"	"B"	"No"	"C"	"Cabra"
"122"	"122"	"B"	"C"	"No"	"B"	"Cabra"
"123"	"123"	"B"	"C"	"Si"	"A"	"Coche"
"124"	"124"	"B"	"C"	"No"	"B"	"Cabra"
"125"	"125"	"B"	"C"	"Si"	"A"	"Cabra"
"126"	"126"	"C"	"A"	"No"	"C"	"Cabra"
"127"	"127"	"B"	"A"	"No"	"B"	"Cabra"
"128"	"128"	"B"	"A"	"No"	"B"	"Cabra"
"129"	"129"	"A"	"B"	"No"	"A"	"Coche"
"130"	"130"	"A"	"B"	"Si"	"C"	"Coche"
"131"	"131"	"C"	"B"	"Si"	"A"	"Cabra"
"132"	"132"	"A"	"B"	"No"	"A"	"Coche"
"133"	"133"	"A"	"C"	"Si"	"B"	"Coche"
"134"	"134"	"B"	"A"	"No"	"B"	"Coche"
"135"	"135"	"B"	"A"	"Si"	"C"	"Coche"
"136"	"136"	"C"	"A"	"Si"	"B"	"Coche"
"137"	"137"	"C"	"A"	"No"	"C"	"Cabra"
"138"	"138"	"A"	"B"	"Si"	"C"	"Cabra"
"139"	"139"	"A"	"C"	"Si"	"B"	"Cabra"
"140"	"140"	"A"	"B"	"No"	"A"	"Coche"
"141"	"141"	"C"	"B"	"No"	"C"	"Cabra"
"142"	"142"	"C"	"B"	"No"	"C"	"Cabra"
"143"	"143"	"A"	"C"	"Si"	"B"	"Coche"
"144"	"144"	"B"	"A"	"No"	"B"	"Cabra"
"145"	"145"	"B"	"A"	"Si"	"C"	"Cabra"
"146"	"146"	"C"	"B"	"No"	"C"	"Cabra"
"147"	"147"	"A"	"C"	"No"	"A"	"Coche"
"148"	"148"	"A"	"C"	"Si"	"B"	"Coche"
"149"	"149"	"C"	"B"	"Si"	"A"	"Cabra"
"150"	"150"	"C"	"A"	"No"	"C"	"Coche"
"151"	"151"	"A"	"C"	"No"	"A"	"Cabra"
"152"	"152"	"B"	"A"	"No"	"B"	"Cabra"
"153"	"153"	"A"	"C"	"Si"	"B"	"Coche"
"154"	"154"	"B"	"C"	"No"	"B"	"Cabra"
"155"	"155"	"B"	"C"	"No"	"B"	"Coche"
"156"	"156"	"B"	"A"	"No"	"B"	"Cabra"
"157"	"157"	"A"	"B"	"Si"	"C"	"Coche"
"158"	"158"	"B"	"C"	"No"	"B"	"Cabra"
"159"	"159"	"A"	"B"	"Si"	"C"	"Cabra"
"160"	"160"	"A"	"B"	"No"	"A"	"Coche"
"161"	"161"	"A"	"C"	"Si"	"B"	"Cabra"
"162"	"162"	"B"	"A"	"Si"	"C"	"Coche"
"163"	"163"	"A"	"B"	"No"	"A"	"Coche"
"164"	"164"	"A"	"C"	"Si"	"B"	"Coche"
"165"	"165"	"C"	"A"	"No"	"C"	"Cabra"
"166"	"166"	"A"	"B"	"Si"	"C"	"Coche"
"167"	"167"	"C"	"B"	"Si"	"A"	"Coche"
"168"	"168"	"A"	"B"	"No"	"A"	"Coche"
"169"	"169"	"A"	"B"	"No"	"A"	"Cabra"
"170"	"170"	"B"	"A"	"No"	"B"	"Cabra"
"171"	"171"	"B"	"C"	"No"	"B"	"Coche"
"172"	"172"	"A"	"B"	"No"	"A"	"Cabra"
"173"	"173"	"C"	"B"	"No"	"C"	"Cabra"
"174"	"174"	"C"	"B"	"Si"	"A"	"Coche"
"175"	"175"	"A"	"C"	"Si"	"B"	"Cabra"
"176"	"176"	"C"	"B"	"No"	"C"	"Coche"
"177"	"177"	"A"	"C"	"Si"	"B"	"Coche"
"178"	"178"	"C"	"B"	"No"	"C"	"Cabra"
"179"	"179"	"B"	"C"	"No"	"B"	"Coche"
"180"	"180"	"B"	"C"	"Si"	"A"	"Coche"
"181"	"181"	"B"	"A"	"Si"	"C"	"Coche"
"182"	"182"	"A"	"B"	"No"	"A"	"Coche"
"183"	"183"	"C"	"A"	"Si"	"B"	"Coche"
"184"	"184"	"C"	"B"	"No"	"C"	"Cabra"
"185"	"185"	"A"	"B"	"No"	"A"	"Cabra"
"186"	"186"	"B"	"C"	"Si"	"A"	"Coche"
"187"	"187"	"C"	"B"	"No"	"C"	"Cabra"
"188"	"188"	"A"	"B"	"Si"	"C"	"Cabra"
"189"	"189"	"A"	"B"	"Si"	"C"	"Cabra"
"190"	"190"	"A"	"C"	"Si"	"B"	"Cabra"
"191"	"191"	"C"	"A"	"Si"	"B"	"Coche"
"192"	"192"	"C"	"B"	"No"	"C"	"Cabra"
"193"	"193"	"B"	"C"	"No"	"B"	"Coche"
"194"	"194"	"C"	"A"	"Si"	"B"	"Coche"
"195"	"195"	"A"	"B"	"No"	"A"	"Cabra"
"196"	"196"	"A"	"C"	"No"	"A"	"Cabra"
"197"	"197"	"A"	"B"	"No"	"A"	"Cabra"
"198"	"198"	"C"	"A"	"Si"	"B"	"Cabra"
"199"	"199"	"C"	"B"	"No"	"C"	"Cabra"
"200"	"200"	"A"	"C"	"No"	"A"	"Coche"
"201"	"201"	"C"	"B"	"Si"	"A"	"Coche"
"202"	"202"	"C"	"A"	"No"	"C"	"Cabra"
"203"	"203"	"B"	"A"	"Si"	"C"	"Cabra"
"204"	"204"	"C"	"B"	"Si"	"A"	"Coche"
"205"	"205"	"A"	"C"	"No"	"A"	"Coche"
"206"	"206"	"C"	"B"	"Si"	"A"	"Coche"
"207"	"207"	"C"	"B"	"No"	"C"	"Coche"
"208"	"208"	"C"	"A"	"Si"	"B"	"Coche"
"209"	"209"	"B"	"C"	"No"	"B"	"Cabra"
"210"	"210"	"A"	"B"	"No"	"A"	"Coche"
"211"	"211"	"A"	"B"	"Si"	"C"	"Coche"
"212"	"212"	"C"	"B"	"No"	"C"	"Coche"
"213"	"213"	"A"	"C"	"No"	"A"	"Cabra"
"214"	"214"	"B"	"C"	"Si"	"A"	"Coche"
"215"	"215"	"A"	"C"	"No"	"A"	"Cabra"
"216"	"216"	"A"	"C"	"Si"	"B"	"Cabra"
"217"	"217"	"A"	"C"	"Si"	"B"	"Cabra"
"218"	"218"	"A"	"C"	"Si"	"B"	"Coche"
"219"	"219"	"C"	"A"	"Si"	"B"	"Coche"
"220"	"220"	"C"	"B"	"No"	"C"	"Cabra"
"221"	"221"	"A"	"C"	"No"	"A"	"Coche"
"222"	"222"	"A"	"C"	"Si"	"B"	"Coche"
"223"	"223"	"B"	"C"	"Si"	"A"	"Coche"
"224"	"224"	"A"	"B"	"No"	"A"	"Coche"
"225"	"225"	"B"	"C"	"Si"	"A"	"Coche"
"226"	"226"	"C"	"B"	"Si"	"A"	"Coche"
"227"	"227"	"B"	"A"	"Si"	"C"	"Cabra"
"228"	"228"	"B"	"C"	"Si"	"A"	"Coche"
"229"	"229"	"C"	"B"	"Si"	"A"	"Coche"
"230"	"230"	"A"	"B"	"No"	"A"	"Cabra"
"231"	"231"	"C"	"A"	"Si"	"B"	"Coche"
"232"	"232"	"C"	"B"	"Si"	"A"	"Coche"
"233"	"233"	"C"	"B"	"Si"	"A"	"Cabra"
"234"	"234"	"A"	"C"	"No"	"A"	"Coche"
"235"	"235"	"C"	"B"	"Si"	"A"	"Coche"
"236"	"236"	"B"	"C"	"No"	"B"	"Cabra"
"237"	"237"	"A"	"B"	"No"	"A"	"Cabra"
"238"	"238"	"A"	"C"	"No"	"A"	"Cabra"
"239"	"239"	"A"	"B"	"No"	"A"	"Cabra"
"240"	"240"	"B"	"C"	"No"	"B"	"Cabra"
"241"	"241"	"B"	"A"	"No"	"B"	"Cabra"
"242"	"242"	"A"	"C"	"Si"	"B"	"Coche"
"243"	"243"	"B"	"C"	"No"	"B"	"Cabra"
"244"	"244"	"C"	"A"	"No"	"C"	"Coche"
"245"	"245"	"B"	"C"	"Si"	"A"	"Coche"
"246"	"246"	"A"	"C"	"Si"	"B"	"Cabra"
"247"	"247"	"B"	"A"	"Si"	"C"	"Coche"
"248"	"248"	"A"	"B"	"Si"	"C"	"Cabra"
"249"	"249"	"C"	"B"	"No"	"C"	"Coche"
"250"	"250"	"A"	"B"	"No"	"A"	"Cabra"
"251"	"251"	"B"	"C"	"Si"	"A"	"Cabra"
"252"	"252"	"A"	"C"	"Si"	"B"	"Cabra"
"253"	"253"	"B"	"C"	"No"	"B"	"Cabra"
"254"	"254"	"A"	"B"	"No"	"A"	"Coche"
"255"	"255"	"A"	"C"	"No"	"A"	"Coche"
"256"	"256"	"A"	"B"	"Si"	"C"	"Coche"
"257"	"257"	"B"	"C"	"No"	"B"	"Coche"
"258"	"258"	"B"	"C"	"No"	"B"	"Cabra"
"259"	"259"	"A"	"C"	"Si"	"B"	"Coche"
"260"	"260"	"A"	"C"	"Si"	"B"	"Coche"
"261"	"261"	"B"	"A"	"No"	"B"	"Cabra"
"262"	"262"	"B"	"A"	"Si"	"C"	"Coche"
"263"	"263"	"A"	"B"	"Si"	"C"	"Coche"
"264"	"264"	"C"	"B"	"Si"	"A"	"Coche"
"265"	"265"	"C"	"A"	"Si"	"B"	"Coche"
"266"	"266"	"B"	"A"	"Si"	"C"	"Cabra"
"267"	"267"	"B"	"C"	"No"	"B"	"Cabra"
"268"	"268"	"C"	"B"	"No"	"C"	"Cabra"
"269"	"269"	"B"	"C"	"No"	"B"	"Cabra"
"270"	"270"	"C"	"A"	"Si"	"B"	"Coche"
"271"	"271"	"B"	"A"	"No"	"B"	"Cabra"
"272"	"272"	"B"	"A"	"Si"	"C"	"Cabra"
"273"	"273"	"B"	"A"	"Si"	"C"	"Coche"
"274"	"274"	"C"	"A"	"Si"	"B"	"Cabra"
"275"	"275"	"B"	"A"	"Si"	"C"	"Coche"
"276"	"276"	"A"	"B"	"No"	"A"	"Cabra"
"277"	"277"	"C"	"A"	"No"	"C"	"Cabra"
"278"	"278"	"C"	"A"	"No"	"C"	"Coche"
"279"	"279"	"B"	"C"	"No"	"B"	"Cabra"
"280"	"280"	"A"	"C"	"No"	"A"	"Coche"
"281"	"281"	"B"	"C"	"Si"	"A"	"Coche"
"282"	"282"	"B"	"C"	"Si"	"A"	"Coche"
"283"	"283"	"B"	"A"	"Si"	"C"	"Coche"
"284"	"284"	"C"	"B"	"Si"	"A"	"Coche"
"285"	"285"	"B"	"C"	"Si"	"A"	"Coche"
"286"	"286"	"A"	"B"	"Si"	"C"	"Coche"
"287"	"287"	"A"	"C"	"Si"	"B"	"Cabra"
"288"	"288"	"A"	"B"	"Si"	"C"	"Coche"
"289"	"289"	"C"	"B"	"No"	"C"	"Coche"
"290"	"290"	"C"	"A"	"Si"	"B"	"Coche"
"291"	"291"	"C"	"B"	"Si"	"A"	"Coche"
"292"	"292"	"A"	"C"	"Si"	"B"	"Coche"
"293"	"293"	"A"	"C"	"No"	"A"	"Coche"
"294"	"294"	"C"	"B"	"Si"	"A"	"Cabra"
"295"	"295"	"B"	"A"	"Si"	"C"	"Cabra"
"296"	"296"	"B"	"C"	"No"	"B"	"Cabra"
"297"	"297"	"C"	"B"	"Si"	"A"	"Cabra"
"298"	"298"	"B"	"A"	"No"	"B"	"Cabra"
"299"	"299"	"A"	"B"	"No"	"A"	"Cabra"
"300"	"300"	"C"	"B"	"Si"	"A"	"Coche"
"301"	"301"	"B"	"C"	"Si"	"A"	"Coche"
"302"	"302"	"B"	"C"	"No"	"B"	"Cabra"
"303"	"303"	"B"	"A"	"Si"	"C"	"Coche"
"304"	"304"	"B"	"A"	"Si"	"C"	"Coche"
"305"	"305"	"C"	"A"	"No"	"C"	"Cabra"
"306"	"306"	"C"	"A"	"Si"	"B"	"Coche"
"307"	"307"	"C"	"A"	"No"	"C"	"Coche"
"308"	"308"	"C"	"A"	"No"	"C"	"Cabra"
"309"	"309"	"C"	"B"	"No"	"C"	"Cabra"
"310"	"310"	"C"	"A"	"Si"	"B"	"Coche"
"311"	"311"	"B"	"A"	"No"	"B"	"Cabra"
"312"	"312"	"A"	"B"	"No"	"A"	"Cabra"
"313"	"313"	"C"	"B"	"No"	"C"	"Coche"
"314"	"314"	"C"	"A"	"Si"	"B"	"Coche"
"315"	"315"	"C"	"B"	"No"	"C"	"Coche"
"316"	"316"	"B"	"C"	"No"	"B"	"Coche"
"317"	"317"	"A"	"C"	"No"	"A"	"Cabra"
"318"	"318"	"C"	"B"	"No"	"C"	"Cabra"
"319"	"319"	"B"	"A"	"No"	"B"	"Cabra"
"320"	"320"	"B"	"A"	"Si"	"C"	"Cabra"
"321"	"321"	"B"	"A"	"No"	"B"	"Coche"
"322"	"322"	"C"	"A"	"No"	"C"	"Coche"
"323"	"323"	"A"	"B"	"No"	"A"	"Cabra"
"324"	"324"	"A"	"B"	"No"	"A"	"Cabra"
"325"	"325"	"C"	"A"	"No"	"C"	"Coche"
"326"	"326"	"C"	"B"	"No"	"C"	"Coche"
"327"	"327"	"B"	"A"	"No"	"B"	"Cabra"
"328"	"328"	"A"	"C"	"Si"	"B"	"Coche"
"329"	"329"	"C"	"A"	"Si"	"B"	"Coche"
"330"	"330"	"C"	"B"	"No"	"C"	"Cabra"
"331"	"331"	"C"	"B"	"No"	"C"	"Coche"
"332"	"332"	"C"	"B"	"No"	"C"	"Cabra"
"333"	"333"	"B"	"C"	"No"	"B"	"Cabra"
"334"	"334"	"A"	"B"	"No"	"A"	"Coche"
"335"	"335"	"B"	"A"	"Si"	"C"	"Cabra"
"336"	"336"	"C"	"B"	"Si"	"A"	"Cabra"
"337"	"337"	"C"	"B"	"Si"	"A"	"Coche"
"338"	"338"	"A"	"B"	"No"	"A"	"Coche"
"339"	"339"	"A"	"C"	"No"	"A"	"Coche"
"340"	"340"	"A"	"C"	"No"	"A"	"Cabra"
"341"	"341"	"A"	"B"	"No"	"A"	"Coche"
"342"	"342"	"A"	"C"	"No"	"A"	"Coche"
"343"	"343"	"B"	"C"	"No"	"B"	"Cabra"
"344"	"344"	"A"	"B"	"No"	"A"	"Coche"
"345"	"345"	"B"	"A"	"Si"	"C"	"Cabra"
"346"	"346"	"A"	"B"	"No"	"A"	"Cabra"
"347"	"347"	"A"	"B"	"No"	"A"	"Cabra"
"348"	"348"	"A"	"B"	"No"	"A"	"Cabra"
"349"	"349"	"A"	"B"	"No"	"A"	"Cabra"
"350"	"350"	"A"	"B"	"Si"	"C"	"Coche"
"351"	"351"	"B"	"A"	"Si"	"C"	"Coche"
"352"	"352"	"C"	"B"	"Si"	"A"	"Coche"
"353"	"353"	"C"	"B"	"Si"	"A"	"Coche"
"354"	"354"	"C"	"A"	"No"	"C"	"Cabra"
"355"	"355"	"A"	"B"	"Si"	"C"	"Coche"
"356"	"356"	"C"	"A"	"Si"	"B"	"Cabra"
"357"	"357"	"C"	"A"	"Si"	"B"	"Coche"
"358"	"358"	"A"	"B"	"Si"	"C"	"Coche"
"359"	"359"	"B"	"C"	"Si"	"A"	"Coche"
"360"	"360"	"A"	"C"	"No"	"A"	"Cabra"
"361"	"361"	"B"	"C"	"Si"	"A"	"Coche"
"362"	"362"	"C"	"B"	"No"	"C"	"Coche"
"363"	"363"	"C"	"B"	"No"	"C"	"Cabra"
"364"	"364"	"B"	"A"	"No"	"B"	"Cabra"
"365"	"365"	"A"	"B"	"No"	"A"	"Coche"
"366"	"366"	"A"	"B"	"No"	"A"	"Cabra"
"367"	"367"	"A"	"C"	"Si"	"B"	"Coche"
"368"	"368"	"B"	"A"	"Si"	"C"	"Coche"
"369"	"369"	"A"	"C"	"Si"	"B"	"Coche"
"370"	"370"	"C"	"B"	"No"	"C"	"Coche"
"371"	"371"	"C"	"A"	"Si"	"B"	"Coche"
"372"	"372"	"C"	"B"	"No"	"C"	"Cabra"
"373"	"373"	"C"	"B"	"No"	"C"	"Cabra"
"374"	"374"	"A"	"B"	"Si"	"C"	"Coche"
"375"	"375"	"B"	"A"	"Si"	"C"	"Coche"
"376"	"376"	"C"	"A"	"No"	"C"	"Coche"
"377"	"377"	"A"	"C"	"Si"	"B"	"Coche"
"378"	"378"	"A"	"C"	"Si"	"B"	"Cabra"
"379"	"379"	"A"	"C"	"Si"	"B"	"Cabra"
"380"	"380"	"A"	"B"	"Si"	"C"	"Coche"
"381"	"381"	"B"	"A"	"No"	"B"	"Coche"
"382"	"382"	"C"	"B"	"No"	"C"	"Cabra"
"383"	"383"	"A"	"C"	"Si"	"B"	"Coche"
"384"	"384"	"C"	"A"	"No"	"C"	"Cabra"
"385"	"385"	"B"	"A"	"Si"	"C"	"Coche"
"386"	"386"	"C"	"B"	"No"	"C"	"Cabra"
"387"	"387"	"C"	"B"	"No"	"C"	"Coche"
"388"	"388"	"B"	"C"	"Si"	"A"	"Cabra"
"389"	"389"	"A"	"C"	"No"	"A"	"Coche"
"390"	"390"	"C"	"B"	"No"	"C"	"Cabra"
"391"	"391"	"B"	"C"	"Si"	"A"	"Cabra"
"392"	"392"	"A"	"C"	"Si"	"B"	"Coche"
"393"	"393"	"C"	"A"	"No"	"C"	"Coche"
"394"	"394"	"A"	"C"	"No"	"A"	"Cabra"
"395"	"395"	"A"	"C"	"No"	"A"	"Cabra"
"396"	"396"	"C"	"A"	"Si"	"B"	"Coche"
"397"	"397"	"C"	"B"	"Si"	"A"	"Cabra"
"398"	"398"	"B"	"C"	"Si"	"A"	"Coche"
"399"	"399"	"B"	"C"	"No"	"B"	"Coche"
"400"	"400"	"A"	"C"	"Si"	"B"	"Cabra"
"401"	"401"	"C"	"A"	"Si"	"B"	"Coche"
"402"	"402"	"C"	"A"	"No"	"C"	"Cabra"
"403"	"403"	"A"	"B"	"Si"	"C"	"Coche"
"404"	"404"	"A"	"C"	"No"	"A"	"Coche"
"405"	"405"	"A"	"C"	"No"	"A"	"Cabra"
"406"	"406"	"C"	"A"	"No"	"C"	"Cabra"
"407"	"407"	"C"	"B"	"No"	"C"	"Coche"
"408"	"408"	"A"	"C"	"No"	"A"	"Cabra"
"409"	"409"	"B"	"C"	"No"	"B"	"Coche"
"410"	"410"	"C"	"A"	"Si"	"B"	"Coche"
"411"	"411"	"B"	"C"	"No"	"B"	"Cabra"
"412"	"412"	"C"	"B"	"No"	"C"	"Coche"
"413"	"413"	"C"	"B"	"Si"	"A"	"Coche"
"414"	"414"	"B"	"A"	"No"	"B"	"Cabra"
"415"	"415"	"B"	"A"	"Si"	"C"	"Coche"
"416"	"416"	"B"	"C"	"No"	"B"	"Cabra"
"417"	"417"	"A"	"C"	"No"	"A"	"Coche"
"418"	"418"	"B"	"A"	"No"	"B"	"Coche"
"419"	"419"	"A"	"B"	"No"	"A"	"Cabra"
"420"	"420"	"A"	"B"	"No"	"A"	"Cabra"
"421"	"421"	"C"	"A"	"Si"	"B"	"Coche"
"422"	"422"	"C"	"A"	"Si"	"B"	"Coche"
"423"	"423"	"A"	"B"	"Si"	"C"	"Cabra"
"424"	"424"	"B"	"C"	"No"	"B"	"Cabra"
"425"	"425"	"A"	"C"	"No"	"A"	"Cabra"
"426"	"426"	"A"	"B"	"Si"	"C"	"Coche"
"427"	"427"	"B"	"C"	"No"	"B"	"Coche"
"428"	"428"	"A"	"C"	"Si"	"B"	"Cabra"
"429"	"429"	"A"	"B"	"Si"	"C"	"Cabra"
"430"	"430"	"B"	"C"	"No"	"B"	"Cabra"
"431"	"431"	"B"	"A"	"No"	"B"	"Coche"
"432"	"432"	"A"	"C"	"No"	"A"	"Cabra"
"433"	"433"	"B"	"A"	"Si"	"C"	"Cabra"
"434"	"434"	"A"	"B"	"Si"	"C"	"Coche"
"435"	"435"	"A"	"C"	"Si"	"B"	"Coche"
"436"	"436"	"B"	"A"	"No"	"B"	"Cabra"
"437"	"437"	"B"	"A"	"No"	"B"	"Cabra"
"438"	"438"	"C"	"B"	"No"	"C"	"Cabra"
"439"	"439"	"B"	"C"	"Si"	"A"	"Coche"
"440"	"440"	"C"	"A"	"Si"	"B"	"Coche"
"441"	"441"	"C"	"A"	"Si"	"B"	"Coche"
"442"	"442"	"B"	"A"	"No"	"B"	"Cabra"
"443"	"443"	"A"	"C"	"Si"	"B"	"Cabra"
"444"	"444"	"A"	"B"	"Si"	"C"	"Cabra"
"445"	"445"	"C"	"A"	"Si"	"B"	"Coche"
"446"	"446"	"B"	"A"	"Si"	"C"	"Cabra"
"447"	"447"	"A"	"C"	"Si"	"B"	"Coche"
"448"	"448"	"C"	"A"	"Si"	"B"	"Coche"
